simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
L40_mrs14_rpt8_ttl8,1,8.0,0.2,0.025,0.39899999999999997,0.2,0.0,100.7,74.4,123.7,112.6,1586.0,8.0,False,6.761,0.4,634.0,14.0,27.32,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.2875,0.2,8.0,0.025
L40_mrs14_rpt8_ttl8,2,8.0,0.5,0.0625,0.39899999999999997,0.7,0.0,314.2,205.7,431.7,378.7,1586.0,8.0,False,6.761,0.4,634.0,14.0,25.58,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.5625,0.7,16.0,0.04375
L40_mrs14_rpt8_ttl8,3,8.0,0.3,0.0375,0.39899999999999997,0.9,0.0,271.6,176.3,370.7,324.8,1586.0,8.0,False,6.761,0.4,634.0,14.0,20.915999999999997,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.45,1.0,24.0,0.041666666666666664
L40_mrs14_rpt8_ttl8,4,8.0,0.2,0.025,0.39899999999999997,1.1,0.0,270.2,171.6,370.7,324.8,1586.0,8.0,False,6.761,0.4,634.0,14.0,19.947999999999997,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.7875,1.2,32.0,0.0375
L40_mrs14_rpt8_ttl8,5,8.0,0.1,0.0125,0.39899999999999997,1.0,0.0,313.1,201.8,432.3,381.2,1586.0,8.0,False,6.761,0.4,634.0,14.0,19.948,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.475,1.3,40.0,0.032499999999999994
L40_mrs14_rpt8_ttl8,6,8.0,0.4,0.05,0.39899999999999997,1.2,0.0,353.4,233.5,498.3,447.6,1586.0,8.0,False,6.761,0.4,634.0,14.0,20.291999999999998,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.475,1.7,48.0,0.035416666666666666
L40_mrs14_rpt8_ttl8,7,8.0,0.2,0.025,0.39899999999999997,1.0,0.0,309.6,192.8,436.7,383.0,1586.0,8.0,False,6.761,0.4,634.0,14.0,19.244,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.65,1.9,56.0,0.033928571428571426
L40_mrs14_rpt8_ttl8,8,8.0,0.2,0.025,0.39899999999999997,1.0,0.0,218.5,135.9,313.9,272.1,1586.0,8.0,False,6.761,0.4,634.0,14.0,21.048,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.2625,2.1,64.0,0.0328125
L40_mrs14_rpt8_ttl8,9,8.0,0.1,0.0125,0.39899999999999997,1.0,0.0,218.6,135.2,313.9,271.5,1586.0,8.0,False,6.761,0.4,634.0,14.0,21.683999999999997,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.5875,2.2,72.0,0.030555555555555558
L40_mrs14_rpt8_ttl8,10,8.0,0.2,0.025,0.39899999999999997,1.0,0.0,262.4,162.1,375.5,328.5,1586.0,8.0,False,6.761,0.4,634.0,14.0,20.928,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.75,2.4,80.0,0.030000000000000006
L40_mrs14_rpt8_ttl8,11,8.0,0.3,0.0375,0.39899999999999997,1.0,0.0,217.7,145.3,312.1,283.4,1586.0,8.0,False,6.761,0.4,634.0,14.0,21.772,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.5625,2.7,88.0,0.03068181818181818
L40_mrs14_rpt8_ttl8,12,8.0,0.2,0.025,0.39899999999999997,1.0,0.0,212.4,144.2,302.6,275.5,1586.0,8.0,False,6.761,0.4,634.0,14.0,21.516,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.8875,2.9,96.0,0.03020833333333333
L40_mrs14_rpt8_ttl8,13,8.0,0.2,0.025,0.39899999999999997,1.0,0.0,311.2,208.8,423.0,367.7,1586.0,8.0,False,6.761,0.4,634.0,14.0,21.827999999999996,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.8,3.1,104.0,0.029807692307692302
L40_mrs14_rpt8_ttl8,14,8.0,0.3,0.0375,0.39899999999999997,1.0,0.0,353.5,244.1,500.2,454.4,1586.0,8.0,False,6.761,0.4,634.0,14.0,19.264,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.6,3.4,112.0,0.030357142857142853
L40_mrs14_rpt8_ttl8,15,8.0,0.3,0.0375,0.39899999999999997,1.0,0.0,360.2,239.3,501.6,452.1,1586.0,8.0,False,6.761,0.4,634.0,14.0,19.532,0.0,16.0,4.5,8.0,100.0,0.0,123.0,7.0,11.625,3.7,120.0,0.03083333333333333
