acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.000560622964237,123,0,13
16,0.372093023255813,,0,192,0,424,0,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
19,0.213483146067415,,0,232,0,424,0,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,89,0,1.0,123,0,3
5,0.05,,0,247,0,424,0,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.01,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.03,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.29,ilp,0.1,475,26_usa,0.02,16,100,0,0.000560622964237,123,0,13
13,0.30232558139534804,,0,179,0,424,0,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
24,0.26966292134831404,,0,225,0,424,0,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.0,16,89,0,1.0,123,0,3
2,0.02,,0,276,0,417,0,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.01,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.37,ilp,0.1,475,26_usa,0.02,16,100,0,0.000560622964237,123,0,13
12,0.27906976744186,,0,165,0,424,0,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
28,0.31460674157303303,,0,233,0,424,0,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,89,0,1.0,123,0,3
2,0.02,,0,264,0,424,0,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
1,0.01,,0,292,0,424,0,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.03,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.02,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.41000000000000003,ilp,0.1,475,26_usa,0.02,16,100,0,0.000560622964237,123,0,13
27,0.627906976744186,,0,502,122,910,803,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.0,16,43,0,1.0,123,0,2
34,0.382022471910112,,0,549,159,910,803,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.01,16,89,0,1.0,123,0,3
9,0.09,,0,557,140,910,803,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
2,0.02,,0,618,121,910,609,random,4759,19,avg cp length,hypervisor count,0.42,ilp,0.2,951,26_usa,0.02,16,100,0,0.20491803278688503,123,0,5
