,simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
50,L45_mrs14_rpt4_ttl4,1,4.0,0.2,0.05,0.45699999999999996,0.2,0.0,327.1,252.3,417.8,387.3,4759.0,4.0,False,1.972,0.45,2141.0,14.0,59.19230769230769,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.875,0.2,4.0,0.05
51,L45_mrs14_rpt4_ttl4,2,4.0,0.3,0.075,0.45699999999999996,0.4,0.0,688.4,497.2,847.8,829.5,4759.0,4.0,False,1.972,0.45,2141.0,14.0,56.66538461538461,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.675,0.5,8.0,0.0625
52,L45_mrs14_rpt4_ttl4,3,4.0,0.3,0.075,0.45699999999999996,0.6,0.0,712.6,542.7,850.4,836.3,4759.0,4.0,False,1.972,0.45,2141.0,14.0,52.29230769230769,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.125,0.8,12.0,0.06666666666666668
53,L45_mrs14_rpt4_ttl4,4,4.0,0.5,0.125,0.45699999999999996,0.7,0.0,1078.4,833.8,1277.3,1242.0,4759.0,4.0,False,1.972,0.45,2141.0,14.0,56.111538461538466,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.05,1.3,16.0,0.08125
54,L45_mrs14_rpt4_ttl4,5,4.0,0.4,0.1,0.45699999999999996,0.7,0.0,702.2,529.8,853.0,824.8,4759.0,4.0,False,1.972,0.45,2141.0,14.0,54.57307692307692,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.525,1.7,20.0,0.085
55,L45_mrs14_rpt4_ttl4,6,4.0,0.2,0.05,0.45699999999999996,0.7,0.0,864.7,648.8,1066.3,1014.4,4759.0,4.0,False,1.972,0.45,2141.0,14.0,52.51153846153845,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.05,1.9,24.0,0.07916666666666668
56,L45_mrs14_rpt4_ttl4,7,4.0,0.2,0.05,0.45699999999999996,0.6,0.0,1059.0,821.0,1278.5,1223.3,4759.0,4.0,False,1.972,0.45,2141.0,14.0,51.773076923076914,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.25,2.1,28.0,0.07499999999999998
57,L45_mrs14_rpt4_ttl4,8,4.0,0.5,0.125,0.45699999999999996,0.5,0.0,899.8,694.8,1063.7,1037.0,4759.0,4.0,False,1.972,0.45,2141.0,14.0,59.19230769230769,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.9,2.6,32.0,0.08125
58,L45_mrs14_rpt4_ttl4,9,4.0,0.2,0.05,0.45699999999999996,0.5,0.0,855.5,636.7,1066.3,1020.8,4759.0,4.0,False,1.972,0.45,2141.0,14.0,52.815384615384616,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.125,2.8,36.0,0.07777777777777778
59,L45_mrs14_rpt4_ttl4,10,4.0,0.2,0.05,0.45699999999999996,0.5,0.0,697.9,515.2,853.0,815.4,4759.0,4.0,False,1.972,0.45,2141.0,14.0,52.888461538461534,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.125,3.0,40.0,0.075
