,simulation_name,timestep,TTL_max,acceptable_count,acceptance_ratio,acceptance_ratio_ilp,active_vSDN_count,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,diameter,h_count,hp_changed,hp_runtime,latency_factor,max_length,max_vSDN_size,mean_switch_hpair_count,request_processing_time,shortest_k,simulation_id,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size,acceptable_count_cum,vSDN_count_cum,acceptance_ratio_cum
100,L50_mrs14_rpt4_ttl4,1,4.0,1.0,0.25,0.698,1.0,0.0,1196.2,1004.0,1421.8,1393.7,4759.0,4.0,False,12.7,0.5,2379.0,14.0,80.73076923076924,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.875,1.0,4.0,0.25
101,L50_mrs14_rpt4_ttl4,2,4.0,1.0,0.25,0.698,1.6,0.0,1981.3,1574.7,2368.6,2306.7,4759.0,4.0,False,12.7,0.5,2379.0,14.0,68.82307692307693,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.675,2.0,8.0,0.25
102,L50_mrs14_rpt4_ttl4,3,4.0,1.2,0.3,0.698,2.3,0.0,1785.3,1432.2,2135.9,2094.7,4759.0,4.0,False,12.7,0.5,2379.0,14.0,58.280769230769224,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.125,3.2,12.0,0.2666666666666667
103,L50_mrs14_rpt4_ttl4,4,4.0,1.2,0.3,0.698,2.4,0.0,2044.3,1626.2,2372.6,2332.9,4759.0,4.0,False,12.7,0.5,2379.0,14.0,57.919230769230765,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.05,4.4,16.0,0.275
104,L50_mrs14_rpt4_ttl4,5,4.0,0.9,0.225,0.698,1.7,0.0,1869.3,1484.4,2135.5,2088.5,4759.0,4.0,False,12.7,0.5,2379.0,14.0,63.50384615384617,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.525,5.3,20.0,0.265
105,L50_mrs14_rpt4_ttl4,6,4.0,0.9,0.225,0.698,1.8,0.0,1650.3,1333.7,1897.8,1868.5,4759.0,4.0,False,12.7,0.5,2379.0,14.0,65.13461538461539,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.05,6.2,24.0,0.2583333333333333
106,L50_mrs14_rpt4_ttl4,7,4.0,0.7,0.175,0.698,1.5,0.0,1835.9,1531.4,2132.8,2105.3,4759.0,4.0,False,12.7,0.5,2379.0,14.0,64.68461538461538,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.25,6.9,28.0,0.24642857142857139
107,L50_mrs14_rpt4_ttl4,8,4.0,1.5,0.375,0.698,2.1,0.0,1801.4,1467.5,2135.2,2106.8,4759.0,4.0,False,12.7,0.5,2379.0,14.0,67.39615384615385,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.9,8.4,32.0,0.2625
108,L50_mrs14_rpt4_ttl4,9,4.0,0.6,0.15,0.698,1.8,0.0,1563.0,1225.9,1899.6,1862.1,4759.0,4.0,False,12.7,0.5,2379.0,14.0,60.07692307692307,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.125,9.0,36.0,0.25
109,L50_mrs14_rpt4_ttl4,10,4.0,1.1,0.275,0.698,2.1,0.0,1790.1,1444.4,2134.0,2102.8,4759.0,4.0,False,12.7,0.5,2379.0,14.0,63.903846153846146,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.125,10.1,40.0,0.2525
110,L50_mrs14_rpt4_ttl4,11,4.0,1.2,0.3,0.698,2.1,0.0,1612.0,1295.9,1898.0,1860.2,4759.0,4.0,False,12.7,0.5,2379.0,14.0,61.38461538461538,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.875,11.3,44.0,0.2568181818181818
111,L50_mrs14_rpt4_ttl4,12,4.0,1.0,0.25,0.698,2.3,0.0,1832.0,1484.5,2135.2,2105.5,4759.0,4.0,False,12.7,0.5,2379.0,14.0,53.44230769230769,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.9,12.3,48.0,0.25625
112,L50_mrs14_rpt4_ttl4,13,4.0,0.7,0.175,0.698,2.0,0.0,1827.9,1444.9,2136.2,2096.1,4759.0,4.0,False,12.7,0.5,2379.0,14.0,56.75384615384614,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.9,13.0,52.0,0.25
113,L50_mrs14_rpt4_ttl4,14,4.0,1.5,0.375,0.698,2.5,0.0,1796.4,1438.0,2135.8,2099.1,4759.0,4.0,False,12.7,0.5,2379.0,14.0,60.92692307692308,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.875,14.5,56.0,0.25892857142857145
114,L50_mrs14_rpt4_ttl4,15,4.0,0.9,0.225,0.698,2.0,0.0,1800.6,1438.6,2133.7,2097.9,4759.0,4.0,False,12.7,0.5,2379.0,14.0,57.91538461538462,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,12.0,15.4,60.0,0.2566666666666667
115,L50_mrs14_rpt4_ttl4,16,4.0,1.2,0.3,0.698,2.5,0.0,1978.7,1602.1,2371.7,2336.9,4759.0,4.0,False,12.7,0.5,2379.0,14.0,55.08461538461538,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.8,16.6,64.0,0.259375
116,L50_mrs14_rpt4_ttl4,17,4.0,1.2,0.3,0.698,2.8,0.0,1780.7,1417.9,2136.7,2105.5,4759.0,4.0,False,12.7,0.5,2379.0,14.0,54.19999999999999,0.0,16.0,4.5,4.0,100.0,0.0,123.0,7.0,11.9,17.8,68.0,0.2617647058823529
