acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.37,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,7,12
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.37,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,7,13
16,0.372093023255813,-0.0,0,158,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
17,0.191011235955056,-0.0,0,232,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
2,0.02,-0.0,0,262,0,417,0,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.0,16,100,100,0.49504950495049505,123,7,4
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.20491803278688503,123,7,5
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.08326394671107401,123,7,6
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.014889815366289002,123,7,8
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,7,9
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,7,10
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,7,11
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,7,12
0,0.0,-0.0,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.32,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,7,13
13,0.30232558139534804,0.02,0,182,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
18,0.202247191011235,0.02,0,228,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
1,0.01,0.02,0,259,0,404,0,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.0,16,100,100,0.49504950495049505,123,7,4
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.20491803278688503,123,7,5
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.08326394671107401,123,7,6
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.014889815366289002,123,7,8
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,7,9
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,7,10
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,7,11
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,7,12
0,0.0,0.02,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,7,13
12,0.27906976744186,0.01,0,142,0,404,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
15,0.16853932584269601,0.01,0,238,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
2,0.02,0.01,0,255,0,417,0,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.49504950495049505,123,7,4
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.20491803278688503,123,7,5
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.08326394671107401,123,7,6
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.014889815366289002,123,7,8
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,7,9
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,7,10
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,7,11
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,7,12
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.4,ilp,0.1,475,26_usa,0.02,16,100,100,0.000560622964237,123,7,13
20,0.46511627906976705,0.01,0,169,0,417,0,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
28,0.31460674157303303,0.01,0,237,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
6,0.06,0.01,0,248,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.0,16,100,100,0.49504950495049505,123,7,4
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.20491803278688503,123,7,5
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.08326394671107401,123,7,6
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.034542314335060005,123,7,7
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.014889815366289002,123,7,8
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.006741270055278001,123,7,9
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.003235198964736,123,7,10
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.0016611847569680002,123,7,11
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.0009226113591910001,123,7,12
0,0.0,0.01,0,-1,-1,-1,-1,random,4759,26,avg cp length,acceptance ratio,0.33,ilp,0.1,475,26_usa,0.01,16,100,100,0.000560622964237,123,7,13
17,0.39534883720930203,0.01,0,207,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.28,ilp,0.1,475,26_usa,0.0,16,43,100,1.0,123,7,2
22,0.24719101123595502,0.01,0,230,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.28,ilp,0.1,475,26_usa,0.0,16,89,100,1.0,123,7,3
5,0.05,0.01,0,269,0,424,0,random,4759,26,avg cp length,acceptance ratio,0.28,ilp,0.1,475,26_usa,0.0,16,100,100,0.49504950495049505,123,7,4
